season,round,url,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,False,False,False,False,False,max_verstappen,2,18,25,1,6,55,1,3,156.022,24
2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,False,False,False,False,False,perez,3,2,30,0,4,55,1,3,234.262,32
2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,False,False,False,False,False,norris,4,5,16,0,8,24,0,4,312.965,22
2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,False,False,False,False,False,hamilton,5,4,28,0,5,65,0,2,391.78999999999996,37
2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,False,False,False,False,False,russell,6,3,37,0,2,65,0,2,470.72299999999996,24
2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,False,False,False,False,False,ricciardo,7,6,8,0,11,24,0,4,549.755,32
2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,False,False,False,False,False,ocon,8,7,20,0,7,22,0,5,628.816,25
2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,False,False,False,False,False,sainz,9,20,33,0,3,104,2,1,708.2239999999999,27
2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,False,False,False,False,False,gasly,11,9,6,0,12,10,0,8,787.45,26
2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,False,False,False,False,False,bottas,12,8,12,0,10,13,0,6,866.86,32
2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,False,False,False,False,False,tsunoda,13,15,4,0,13,10,0,8,946.284,21
2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,False,False,False,False,False,zhou,14,11,1,0,15,13,0,6,1026.439,22
2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,False,False,False,False,False,mick_schumacher,15,13,0,0,17,12,0,7,1106.904,23
2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,False,False,False,False,False,kevin_magnussen,16,14,12,0,9,12,0,7,1187.158,29
2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,False,False,False,False,False,vettel,17,19,0,0,21,0,0,10,1268.307,34
2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,False,False,False,False,False,latifi,18,16,0,0,20,1,0,9,1349.679,26
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,leclerc,1,2,104,2,1,157,2,1,88.79599999999999,24
