season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium
2023,7,catalunya,perez,1990-01-26,Mexican,red_bull,11,5313752,Finished,12,4
2023,7,catalunya,sainz,1994-09-01,Spanish,ferrari,2,5323638,Finished,10,5
2023,7,catalunya,stroll,1998-10-29,Canadian,aston_martin,5,5341260,Finished,8,6
2023,7,catalunya,alonso,1981-07-29,Spanish,aston_martin,8,5342067,Finished,6,7
2023,7,catalunya,ocon,1996-09-17,French,alpine,6,5347182,Finished,4,8
2023,7,catalunya,zhou,1999-05-30,Chinese,alfa,13,5349818,Finished,2,9
2023,7,catalunya,gasly,1996-02-07,French,alpine,10,5351470,Finished,1,10
2023,7,catalunya,leclerc,1997-10-16,Monegasque,ferrari,19,5352359,Finished,0,11
2023,7,catalunya,tsunoda,2000-05-11,Japanese,alphatauri,15,5353356,Finished,0,12
2023,7,catalunya,piastri,2001-04-06,Australian,mclaren,9,,+1 Lap,0,13
2023,7,catalunya,de_vries,1995-02-06,Dutch,alphatauri,14,,+1 Lap,0,14
2023,7,catalunya,hulkenberg,1987-08-19,German,haas,7,,+1 Lap,0,15
2023,7,catalunya,albon,1996-03-23,Thai,williams,18,,+1 Lap,0,16
2023,7,catalunya,norris,1999-11-13,British,mclaren,3,,+1 Lap,0,17
2023,7,catalunya,kevin_magnussen,1992-10-05,Danish,haas,17,,+1 Lap,0,18
2023,7,catalunya,bottas,1989-08-28,Finnish,alfa,16,,+1 Lap,0,19
2023,7,catalunya,sargeant,2000-12-31,American,williams,20,,+1 Lap,0,20
2023,8,villeneuve,max_verstappen,1997-09-30,Dutch,red_bull,1,5638348,Finished,25,1
2023,8,villeneuve,alonso,1981-07-29,Spanish,aston_martin,2,5647918,Finished,18,2
2023,8,villeneuve,hamilton,1985-01-07,British,mercedes,3,5642946,Finished,15,3
2023,8,villeneuve,leclerc,1997-10-16,Monegasque,ferrari,10,5656996,Finished,12,4
2023,8,villeneuve,sainz,1994-09-01,Spanish,ferrari,11,5659888,Finished,10,5
2023,8,villeneuve,perez,1990-01-26,Mexican,red_bull,12,5689376,Finished,9,6
2023,8,villeneuve,albon,1996-03-23,Thai,williams,9,5699161,Finished,6,7
2023,8,villeneuve,ocon,1996-09-17,French,alpine,6,5700040,Finished,4,8
2023,8,villeneuve,stroll,1998-10-29,Canadian,aston_martin,16,5702750,Finished,2,9
2023,8,villeneuve,bottas,1989-08-28,Finnish,alfa,14,5702780,Finished,1,10
